"pair_id","votes_item_1","votes_item_2","votes_tie","missing_judgments","majority_outcome","s3_direction","full_modelrank_direction","alltime_derivcount_direction","current_derivcount_direction","vanilla_pagerank_direction","downloads_direction","likes_direction"
"P037","0","1","2","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P038","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P039","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_2","item_2"
"P040","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P041","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","tie","item_2"
"P042","0","3","0","0","item_2","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P043","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_2","item_1"
"P044","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","tie","item_1"
"P045","3","0","0","0","item_1","item_2","item_1","item_2","tie","item_2","item_1","tie"
"P046","3","0","0","0","item_1","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P047","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_2","item_1"
"P048","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","tie","item_1"
"P049","0","3","0","0","item_2","item_2","item_2","item_2","tie","item_2","item_1","tie"
"P050","3","0","0","0","item_1","item_1","item_2","item_1","tie","item_1","tie","tie"
"P051","1","0","2","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P052","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P053","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P054","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P055","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P056","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P057","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P058","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P059","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P060","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P061","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P062","0","3","0","0","item_2","item_1","item_2","item_1","tie","item_1","item_2","item_2"
"P063","3","0","0","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P064","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","item_2"
"P065","0","3","0","0","item_2","item_2","item_1","item_2","tie","item_2","item_1","tie"
"P066","3","0","0","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P067","0","1","2","0","tie","item_2","item_1","item_2","tie","item_2","item_1","tie"
"P068","0","1","2","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P069","0","3","0","0","item_2","item_2","item_1","tie","tie","tie","item_2","tie"
"P070","0","0","3","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P071","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P072","0","1","2","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P073","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P074","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P075","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P076","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P077","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","item_1"
"P078","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P079","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P080","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P081","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P082","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P083","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P084","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P085","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P086","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","item_2"
"P087","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P088","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P089","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P090","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P091","3","0","0","0","item_1","item_2","item_2","item_2","tie","item_2","tie","tie"
"P092","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P093","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P094","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","item_2"
"P095","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P096","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P097","0","2","1","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P098","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P099","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P100","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P101","0","3","0","0","item_2","item_2","item_1","item_2","tie","item_2","tie","tie"
"P102","1","0","2","0","tie","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P103","3","0","0","0","item_1","item_2","item_2","tie","tie","item_2","tie","tie"
"P104","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_2","item_1"
"P105","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_2","item_1"
"P106","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_1","item_2"
"P107","3","0","0","0","item_1","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P108","3","0","0","0","item_1","item_2","item_1","tie","tie","item_2","item_1","tie"
"P109","0","2","1","0","item_2","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P110","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_1","item_2"
"P111","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P112","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P113","2","0","1","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P114","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P115","1","0","2","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P116","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P117","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P118","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P119","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P120","2","0","1","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P121","2","0","1","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P122","0","0","3","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P123","0","0","3","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P124","0","0","3","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P125","0","0","3","0","tie","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P126","0","0","3","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P127","0","3","0","0","item_2","item_1","item_2","tie","tie","tie","item_1","tie"
"P128","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P129","0","3","0","0","item_2","item_2","item_1","tie","tie","tie","item_2","tie"
"P130","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P131","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P132","0","3","0","0","item_2","item_2","item_1","tie","tie","tie","item_2","tie"
"P133","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P134","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","item_1"
"P135","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","item_1"
"P136","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","item_1"
"P137","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P138","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P139","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P140","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P141","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P142","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P143","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P144","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P145","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P146","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P147","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P148","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P149","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P150","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P151","0","0","3","0","tie","item_1","item_1","tie","tie","tie","tie","item_1"
"P152","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P153","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P154","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P155","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P156","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P157","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","item_1"
"P158","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P159","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P160","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P161","0","0","3","0","tie","item_2","item_2","tie","tie","tie","tie","item_2"
"P162","0","0","3","0","tie","item_2","item_2","tie","tie","tie","tie","item_2"
"P163","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_2","item_1"
"P164","0","0","3","0","tie","item_1","item_1","tie","tie","tie","tie","item_1"
"P165","0","0","3","0","tie","item_1","item_1","tie","tie","tie","tie","item_1"
"P166","0","0","3","0","tie","item_1","item_1","tie","tie","tie","tie","item_1"
"P167","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_2","item_1"
"P168","0","0","3","0","tie","item_2","item_2","tie","tie","tie","tie","item_2"
"P169","1","0","1","1","unresolved","item_2","item_1","item_2","tie","item_2","item_1","tie"
"P170","0","0","3","0","tie","item_2","item_2","tie","tie","tie","tie","item_2"
"P171","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P172","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P173","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P174","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P175","2","0","1","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P176","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P177","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P178","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P179","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P180","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P181","3","0","0","0","item_1","item_2","item_1","tie","tie","tie","item_2","tie"
"P182","2","0","1","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P183","3","0","0","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P184","0","0","3","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P185","0","3","0","0","item_2","item_1","item_2","tie","tie","tie","item_1","tie"
"P186","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P187","3","0","0","0","item_1","item_2","item_1","tie","tie","tie","item_2","tie"
"P188","0","0","3","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P189","3","0","0","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P190","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P191","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P192","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P193","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","item_2"
"P194","1","0","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P195","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P196","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P197","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P198","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P199","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P200","1","0","2","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P201","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","item_1"
"P202","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P203","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P204","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P205","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P206","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P207","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P208","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P209","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P210","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P211","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P212","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P213","0","2","1","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P214","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P215","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P216","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P217","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","item_2"
"P218","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P219","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P220","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","item_1"
"P221","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_2","item_1"
"P222","0","1","2","0","tie","item_2","item_2","tie","tie","tie","item_1","item_2"
"P223","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","tie","item_2"
"P224","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_2","item_1"
"P225","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_2","item_1"
"P226","0","0","3","0","tie","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P227","1","0","2","0","tie","item_2","item_2","tie","tie","tie","item_1","item_2"
"P228","3","0","0","0","item_1","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P229","0","3","0","0","item_2","item_2","item_2","item_2","tie","item_2","tie","tie"
"P230","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_1","item_2"
"P231","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P232","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P233","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P234","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P235","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P236","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P237","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P238","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P239","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P240","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
